MGP ID,Entrez Gene ID,Enzyme/Reactants,Gene name,Symbol
MGP002787,"6372 -
chemokine (C-X-C motif) ligand 6
CXCL6",-,chemokine (C-X-C motif) ligand 6,CXCL6
MGP001618,"3576 -
chemokine (C-X-C motif) ligand 8
CXCL8",-,chemokine (C-X-C motif) ligand 8,CXCL8
MGP001927,"4283 -
chemokine (C-X-C motif) ligand 9
CXCL9",-,chemokine (C-X-C motif) ligand 9,CXCL9
MGP001619,"3577 -
chemokine (C-X-C motif) receptor 1
CXCR1",-,chemokine (C-X-C motif) receptor 1,CXCR1
MGP001620,"3579 -
chemokine (C-X-C motif) receptor 2
CXCR2",-,chemokine (C-X-C motif) receptor 2,CXCR2
MGP001286,"2833 -
chemokine (C-X-C motif) receptor 3
CXCR3",-,chemokine (C-X-C motif) receptor 3,CXCR3
MGP003420,"7852 -
chemokine (C-X-C motif) receptor 4
CXCR4",-,chemokine (C-X-C motif) receptor 4,CXCR4
MGP000316,"643 -
chemokine (C-X-C motif) receptor 5
CXCR5",-,chemokine (C-X-C motif) receptor 5,CXCR5
MGP004324,"10663 -
chemokine (C-X-C motif) receptor 6
CXCR6",-,chemokine (C-X-C motif) receptor 6,CXCR6
MGP005047,"30827 -
CXXC finger protein 1
CXXC1",-,CXXC finger protein 1,CXXC1
MGP000740,"1528 -
cytochrome b5 type A (microsomal)
CYB5A",-,cytochrome b5 type A (microsomal),CYB5A
MGP000831,"1727 
1.6.2.2| Reactants
cytochrome b5 reductase 3
CYB5R3",1.6.2.2| Reactants,cytochrome b5 reductase 3,CYB5R3
MGP000741,"1535 -
cytochrome b-245, alpha polypeptide
CYBA",-,"cytochrome b-245, alpha polypeptide",CYBA
MGP000742,"1536 
1.-.-.-
cytochrome b-245, beta polypeptide
CYBB",1.-.-.-,"cytochrome b-245, beta polypeptide",CYBB
MGP005937,"79901 
1.-.-.-| Reactants
cytochrome b reductase 1
CYBRD1",1.-.-.-| Reactants,cytochrome b reductase 1,CYBRD1
MGP000743,"1537 -
cytochrome c-1
CYC1",-,cytochrome c-1,CYC1
MGP005275,"54205 -
cytochrome c, somatic
CYCS",-,"cytochrome c, somatic",CYCS
MGP004896,"26999 -
cytoplasmic FMR1 interacting protein 2
CYFIP2",-,cytoplasmic FMR1 interacting protein 2,CYFIP2
MGP000744,"1540 
3.4.19.12| Reactants
cylindromatosis (turban tumor syndrome)
CYLD",3.4.19.12| Reactants,cylindromatosis (turban tumor syndrome),CYLD
MGP000767,"1583 
1.14.15.6| Reactants
cytochrome P450, family 11, subfamily A, polypeptide 1
CYP11A1",1.14.15.6| Reactants,"cytochrome P450, family 11, subfamily A, polypeptide 1",CYP11A1
MGP000768,"1584 
1.14.15.4| Reactants
cytochrome P450, family 11, subfamily B, polypeptide 1
CYP11B1",1.14.15.4| Reactants,"cytochrome P450, family 11, subfamily B, polypeptide 1",CYP11B1
MGP000769,"1585 
1.14.15.4| Reactants
cytochrome P450, family 11, subfamily B, polypeptide 2
CYP11B2",1.14.15.4| Reactants,"cytochrome P450, family 11, subfamily B, polypeptide 2",CYP11B2
MGP000770,"1586 
1.14.99.9| Reactants
cytochrome P450, family 17, subfamily A, polypeptide 1
CYP17A1",1.14.99.9| Reactants,"cytochrome P450, family 17, subfamily A, polypeptide 1",CYP17A1
MGP000771,"1588 
1.14.14.14| Reactants
cytochrome P450, family 19, subfamily A, polypeptide 1
CYP19A1",1.14.14.14| Reactants,"cytochrome P450, family 19, subfamily A, polypeptide 1",CYP19A1
MGP000745,"1543 
1.14.14.1| Reactants
cytochrome P450, family 1, subfamily A, polypeptide 1
CYP1A1",1.14.14.1| Reactants,"cytochrome P450, family 1, subfamily A, polypeptide 1",CYP1A1
MGP000746,"1544 
1.14.14.1| Reactants
cytochrome P450, family 1, subfamily A, polypeptide 2
CYP1A2",1.14.14.1| Reactants,"cytochrome P450, family 1, subfamily A, polypeptide 2",CYP1A2
MGP000747,"1545 
1.14.14.1| Reactants
cytochrome P450, family 1, subfamily B, polypeptide 1
CYP1B1",1.14.14.1| Reactants,"cytochrome P450, family 1, subfamily B, polypeptide 1",CYP1B1
MGP000772,"1589 
1.14.99.10| Reactants
cytochrome P450, family 21, subfamily A, polypeptide 2
CYP21A2",1.14.99.10| Reactants,"cytochrome P450, family 21, subfamily A, polypeptide 2",CYP21A2
MGP000773,"1591 
1.14.13.126| Reactants
cytochrome P450, family 24, subfamily A, polypeptide 1
CYP24A1",1.14.13.126| Reactants,"cytochrome P450, family 24, subfamily A, polypeptide 1",CYP24A1
MGP000774,"1592 
1.14.-.-
cytochrome P450, family 26, subfamily A, polypeptide 1
CYP26A1",1.14.-.-,"cytochrome P450, family 26, subfamily A, polypeptide 1",CYP26A1
MGP005547,"56603 
1.14.-.-
cytochrome P450, family 26, subfamily B, polypeptide 1
CYP26B1",1.14.-.-,"cytochrome P450, family 26, subfamily B, polypeptide 1",CYP26B1
MGP007014,"340665 
1.14.-.-;
cytochrome P450, family 26, subfamily C, polypeptide 1
CYP26C1",1.14.-.-;,"cytochrome P450, family 26, subfamily C, polypeptide 1",CYP26C1
MGP000775,"1593 
1.14.13.15| Reactants
cytochrome P450, family 27, subfamily A, polypeptide 1
CYP27A1",1.14.13.15| Reactants,"cytochrome P450, family 27, subfamily A, polypeptide 1",CYP27A1
MGP000776,"1594 
1.14.13.13| Reactants
cytochrome P450, family 27, subfamily B, polypeptide 1
CYP27B1",1.14.13.13| Reactants,"cytochrome P450, family 27, subfamily B, polypeptide 1",CYP27B1
MGP000751,"1553 
1.14.14.1| Reactants
cytochrome P450, family 2, subfamily A, polypeptide 13
CYP2A13",1.14.14.1| Reactants,"cytochrome P450, family 2, subfamily A, polypeptide 13",CYP2A13
MGP000748,"1548 
1.14.13.-
cytochrome P450, family 2, subfamily A, polypeptide 6
CYP2A6",1.14.13.-,"cytochrome P450, family 2, subfamily A, polypeptide 6",CYP2A6
MGP000749,"1549 
1.14.14.1
cytochrome P450, family 2, subfamily A, polypeptide 7
CYP2A7",1.14.14.1,"cytochrome P450, family 2, subfamily A, polypeptide 7",CYP2A7
MGP000752,"1555 
1.14.13.-
cytochrome P450, family 2, subfamily B, polypeptide 6
CYP2B6",1.14.13.-,"cytochrome P450, family 2, subfamily B, polypeptide 6",CYP2B6
MGP000756,"1562 
1.14.14.1| Reactants
cytochrome P450, family 2, subfamily C, polypeptide 18
CYP2C18",1.14.14.1| Reactants,"cytochrome P450, family 2, subfamily C, polypeptide 18",CYP2C18
MGP000753,"1557 
1.14.13.-| Reactants
cytochrome P450, family 2, subfamily C, polypeptide 19
CYP2C19",1.14.13.-| Reactants,"cytochrome P450, family 2, subfamily C, polypeptide 19",CYP2C19
MGP000754,"1558 
1.14.14.1| Reactants
cytochrome P450, family 2, subfamily C, polypeptide 8
CYP2C8",1.14.14.1| Reactants,"cytochrome P450, family 2, subfamily C, polypeptide 8",CYP2C8
MGP000755,"1559 
1.14.13.-| Reactants
cytochrome P450, family 2, subfamily C, polypeptide 9
CYP2C9",1.14.13.-| Reactants,"cytochrome P450, family 2, subfamily C, polypeptide 9",CYP2C9
MGP000757,"1565 
1.14.14.1| Reactants
cytochrome P450, family 2, subfamily D, polypeptide 6
CYP2D6",1.14.14.1| Reactants,"cytochrome P450, family 2, subfamily D, polypeptide 6",CYP2D6
MGP000758,"1571 
1.14.13.-
cytochrome P450, family 2, subfamily E, polypeptide 1
CYP2E1",1.14.13.-,"cytochrome P450, family 2, subfamily E, polypeptide 1",CYP2E1
MGP000759,"1572 
1.14.14.1| Reactants
cytochrome P450, family 2, subfamily F, polypeptide 1
CYP2F1",1.14.14.1| Reactants,"cytochrome P450, family 2, subfamily F, polypeptide 1",CYP2F1
MGP000760,"1573 
1.14.14.1| Reactants
cytochrome P450, family 2, subfamily J, polypeptide 2
CYP2J2",1.14.14.1| Reactants,"cytochrome P450, family 2, subfamily J, polypeptide 2",CYP2J2
MGP006407,"120227 
1.14.13.159| Reactants
cytochrome P450, family 2, subfamily R, polypeptide 1
CYP2R1",1.14.13.159| Reactants,"cytochrome P450, family 2, subfamily R, polypeptide 1",CYP2R1
MGP005006,"29785 
1.14.14.1| Reactants
cytochrome P450, family 2, subfamily S, polypeptide 1
CYP2S1",1.14.14.1| Reactants,"cytochrome P450, family 2, subfamily S, polypeptide 1",CYP2S1
MGP006338,"113612 
1.14.14.1;| Reactants
cytochrome P450, family 2, subfamily U, polypeptide 1
CYP2U1",1.14.14.1;| Reactants,"cytochrome P450, family 2, subfamily U, polypeptide 1",CYP2U1
MGP005344,"54905 
1.14.14.-
cytochrome P450, family 2, subfamily W, polypeptide 1
CYP2W1",1.14.14.-,"cytochrome P450, family 2, subfamily W, polypeptide 1",CYP2W1
MGP005158,"51302 
1.14.13.99| Reactants
cytochrome P450, family 39, subfamily A, polypeptide 1
CYP39A1",1.14.13.99| Reactants,"cytochrome P450, family 39, subfamily A, polypeptide 1",CYP39A1
MGP000761,"1576 
1.14.13.-| Reactants
cytochrome P450, family 3, subfamily A, polypeptide 4
CYP3A4",1.14.13.-| Reactants,"cytochrome P450, family 3, subfamily A, polypeptide 4",CYP3A4
MGP005795,"64816 
1.14.14.1;| Reactants
cytochrome P450, family 3, subfamily A, polypeptide 43
CYP3A43",1.14.14.1;| Reactants,"cytochrome P450, family 3, subfamily A, polypeptide 43",CYP3A43
MGP000762,"1577 
1.14.14.1| Reactants
cytochrome P450, family 3, subfamily A, polypeptide 5
CYP3A5",1.14.14.1| Reactants,"cytochrome P450, family 3, subfamily A, polypeptide 5",CYP3A5
MGP000750,"1551 
1.14.14.1| Reactants
cytochrome P450, family 3, subfamily A, polypeptide 7
CYP3A7",1.14.14.1| Reactants,"cytochrome P450, family 3, subfamily A, polypeptide 7",CYP3A7
MGP007307,"100861540 
1.14.14.1| Reactants
CYP3A7-CYP3A51P readthrough
CYP3A7-CYP3A51P",1.14.14.1| Reactants,CYP3A7-CYP3A51P readthrough,CYP3A7-CYP3A51P
MGP004379,"10858 
1.14.13.98| Reactants
cytochrome P450, family 46, subfamily A, polypeptide 1
CYP46A1",1.14.13.98| Reactants,"cytochrome P450, family 46, subfamily A, polypeptide 1",CYP46A1
MGP000763,"1579 
1.14.15.3| Reactants
cytochrome P450, family 4, subfamily A, polypeptide 11
CYP4A11",1.14.15.3| Reactants,"cytochrome P450, family 4, subfamily A, polypeptide 11",CYP4A11
MGP006954,"284541 
1.14.15.3| Reactants
cytochrome P450, family 4, subfamily A, polypeptide 22
CYP4A22",1.14.15.3| Reactants,"cytochrome P450, family 4, subfamily A, polypeptide 22",CYP4A22
MGP000764,"1580 
1.14.14.1| Reactants
cytochrome P450, family 4, subfamily B, polypeptide 1
CYP4B1",1.14.14.1| Reactants,"cytochrome P450, family 4, subfamily B, polypeptide 1",CYP4B1
MGP005684,"57834 
1.14.13.194| Reactants
cytochrome P450, family 4, subfamily F, polypeptide 11
CYP4F11",1.14.13.194| Reactants,"cytochrome P450, family 4, subfamily F, polypeptide 11",CYP4F11
MGP005839,"66002 
1.14.14.1| Reactants
cytochrome P450, family 4, subfamily F, polypeptide 12
CYP4F12",1.14.14.1| Reactants,"cytochrome P450, family 4, subfamily F, polypeptide 12",CYP4F12
MGP003587,"8529 
1.14.13.194| Reactants
cytochrome P450, family 4, subfamily F, polypeptide 2
CYP4F2",1.14.13.194| Reactants,"cytochrome P450, family 4, subfamily F, polypeptide 2",CYP4F2
MGP006467,"126410 
1.14.14.-;| Reactants
cytochrome P450, family 4, subfamily F, polypeptide 22
CYP4F22",1.14.14.-;| Reactants,"cytochrome P450, family 4, subfamily F, polypeptide 22",CYP4F22
MGP001842,"4051 
1.14.13.199| Reactants
cytochrome P450, family 4, subfamily F, polypeptide 3
CYP4F3",1.14.13.199| Reactants,"cytochrome P450, family 4, subfamily F, polypeptide 3",CYP4F3
MGP004502,"11283 
1.14.14.1| Reactants
cytochrome P450, family 4, subfamily F, polypeptide 8
CYP4F8",1.14.14.1| Reactants,"cytochrome P450, family 4, subfamily F, polypeptide 8",CYP4F8
MGP000777,"1595 
1.14.13.70| Reactants
cytochrome P450, family 51, subfamily A, polypeptide 1
CYP51A1",1.14.13.70| Reactants,"cytochrome P450, family 51, subfamily A, polypeptide 1",CYP51A1
MGP000765,"1581 
1.14.13.17| Reactants
cytochrome P450, family 7, subfamily A, polypeptide 1
CYP7A1",1.14.13.17| Reactants,"cytochrome P450, family 7, subfamily A, polypeptide 1",CYP7A1
MGP003893,"9420 
1.14.13.100| Reactants
cytochrome P450, family 7, subfamily B, polypeptide 1
CYP7B1",1.14.13.100| Reactants,"cytochrome P450, family 7, subfamily B, polypeptide 1",CYP7B1
MGP000766,"1582 
1.14.13.95| Reactants
cytochrome P450, family 8, subfamily B, polypeptide 1
CYP8B1",1.14.13.95| Reactants,"cytochrome P450, family 8, subfamily B, polypeptide 1",CYP8B1
MGP006730,"192668 -
cystin 1
CYS1",-,cystin 1,CYS1
MGP007321,"4519 -
cytochrome b
CYTB",-,cytochrome b,CYTB
MGP007264,"728294 
1.1.99.-| Reactants
D-2-hydroxyglutarate dehydrogenase
D2HGDH",1.1.99.-| Reactants,D-2-hydroxyglutarate dehydrogenase,D2HGDH
MGP004563,"23002 -
dishevelled associated activator of morphogenesis 1
DAAM1",-,dishevelled associated activator of morphogenesis 1,DAAM1
MGP000778,"1601 -
Dab, mitogen-responsive phosphoprotein, homolog 2 (Drosophila)
DAB2",-,"Dab, mitogen-responsive phosphoprotein, homolog 2 (Drosophila)",DAB2
MGP005168,"51339 -
dishevelled-binding antagonist of beta-catenin 1
DACT1",-,dishevelled-binding antagonist of beta-catenin 1,DACT1
MGP000779,"1603 
2.4.99.18
defender against cell death 1
DAD1",2.4.99.18,defender against cell death 1,DAD1
MGP000781,"1605 -
dystroglycan 1 (dystrophin-associated glycoprotein 1)
DAG1",-,dystroglycan 1 (dystrophin-associated glycoprotein 1),DAG1
MGP000369,"747 
3.1.1.-
diacylglycerol lipase, alpha
DAGLA",3.1.1.-,"diacylglycerol lipase, alpha",DAGLA
MGP006832,"221955 
3.1.1.-
diacylglycerol lipase, beta
DAGLB",3.1.1.-,"diacylglycerol lipase, beta",DAGLB
MGP004795,"26007 
2.7.1.28| Reactants
dihydroxyacetone kinase 2 homolog (S. cerevisiae)
DAK",2.7.1.28| Reactants,dihydroxyacetone kinase 2 homolog (S. cerevisiae),DAK
MGP000786,"1610 
1.4.3.3;| Reactants
D-amino-acid oxidase
DAO",1.4.3.3;| Reactants,D-amino-acid oxidase,DAO
MGP003414,"7818 -
death associated protein 3
DAP3",-,death associated protein 3,DAP3
MGP000787,"1612 
2.7.11.1;| Reactants
death-associated protein kinase 1
DAPK1",2.7.11.1;| Reactants,death-associated protein kinase 1,DAPK1
MGP004719,"23604 
2.7.11.1| Reactants
death-associated protein kinase 2
DAPK2",2.7.11.1| Reactants,death-associated protein kinase 2,DAPK2
MGP000788,"1613 
2.7.11.1| Reactants
death-associated protein kinase 3
DAPK3",2.7.11.1| Reactants,death-associated protein kinase 3,DAPK3
MGP004910,"27071 -
dual adaptor of phosphotyrosine and 3-phosphoinositides
DAPP1",-,dual adaptor of phosphotyrosine and 3-phosphoinositides,DAPP1
MGP000789,"1615 
6.1.1.12| Reactants
aspartyl-tRNA synthetase
DARS",6.1.1.12| Reactants,aspartyl-tRNA synthetase,DARS
MGP005384,"55157 
6.1.1.12| Reactants
aspartyl-tRNA synthetase 2, mitochondrial
DARS2",6.1.1.12| Reactants,"aspartyl-tRNA synthetase 2, mitochondrial",DARS2
MGP004404,"10926 -
DBF4 zinc finger
DBF4",-,DBF4 zinc finger,DBF4
MGP000790,"1621 
1.14.17.1| Reactants
dopamine beta-hydroxylase (dopamine beta-monooxygenase)
DBH",1.14.17.1| Reactants,dopamine beta-hydroxylase (dopamine beta-monooxygenase),DBH
MGP004982,"28988 -
drebrin-like
DBNL",-,drebrin-like,DBNL
MGP000791,"1628 -
D site of albumin promoter (albumin D-box) binding protein
DBP",-,D site of albumin promoter (albumin D-box) binding protein,DBP
MGP000792,"1629 
2.3.1.168| Reactants
dihydrolipoamide branched chain transacylase E2
DBT",2.3.1.168| Reactants,dihydrolipoamide branched chain transacylase E2,DBT
MGP000793,"1630 -
DCC netrin 1 receptor
DCC",-,DCC netrin 1 receptor,DCC
MGP000795,"1633 
2.7.1.74;| Reactants
deoxycytidine kinase
DCK",2.7.1.74;| Reactants,deoxycytidine kinase,DCK
MGP000796,"1634 -
decorin
DCN",-,decorin,DCN
MGP005499,"55802 
3.-.-.-
decapping mRNA 1A
DCP1A",3.-.-.-,decapping mRNA 1A,DCP1A
MGP006736,"196513 
3.-.-.-;
decapping mRNA 1B
DCP1B",3.-.-.-;,decapping mRNA 1B,DCP1B
MGP006707,"167227 
3.6.1.62| Reactants
decapping mRNA 2
DCP2",3.6.1.62| Reactants,decapping mRNA 2,DCP2
MGP004973,"28960 
3.6.1.59| Reactants
decapping enzyme, scavenger
DCPS",3.6.1.59| Reactants,"decapping enzyme, scavenger",DCPS
MGP000799,"1638 
5.3.3.12| Reactants
dopachrome tautomerase
DCT",5.3.3.12| Reactants,dopachrome tautomerase,DCT
MGP000797,"1635 
3.5.4.12| Reactants
dCMP deaminase
DCTD",3.5.4.12| Reactants,dCMP deaminase,DCTD
MGP000800,"1639 -
dynactin 1
DCTN1",-,dynactin 1,DCTN1
MGP004279,"10540 -
dynactin 2 (p50)
DCTN2",-,dynactin 2 (p50),DCTN2
MGP004495,"11258 -
dynactin 3 (p22)
DCTN3",-,dynactin 3 (p22),DCTN3
MGP006141,"84516 -
dynactin 5 (p25)
DCTN5",-,dynactin 5 (p25),DCTN5
MGP004327,"10671 -
dynactin 6
DCTN6",-,dynactin 6,DCTN6
MGP000801,"1641 -
doublecortin
DCX",-,doublecortin,DCX
MGP000802,"1642 -
damage-specific DNA binding protein 1, 127kDa
DDB1",-,"damage-specific DNA binding protein 1, 127kDa",DDB1
MGP000803,"1643 -
damage-specific DNA binding protein 2, 48kDa
DDB2",-,"damage-specific DNA binding protein 2, 48kDa",DDB2
MGP000804,"1644 
4.1.1.28| Reactants
dopa decarboxylase (aromatic L-amino acid decarboxylase)
DDC",4.1.1.28| Reactants,dopa decarboxylase (aromatic L-amino acid decarboxylase),DDC
MGP000807,"1649 -
DNA-damage-inducible transcript 3
DDIT3",-,DNA-damage-inducible transcript 3,DDIT3
MGP003586,"8528 
1.4.3.1;| Reactants
D-aspartate oxidase
DDO",1.4.3.1;| Reactants,D-aspartate oxidase,DDO
MGP000808,"1650 
2.4.99.18
dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit (non-catalytic)
DDOST",2.4.99.18,dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit (non-catalytic),DDOST
MGP000385,"780 
2.7.10.1| Reactants
discoidin domain receptor tyrosine kinase 1
DDR1",2.7.10.1| Reactants,discoidin domain receptor tyrosine kinase 1,DDR1
MGP002142,"4921 
2.7.10.1| Reactants
discoidin domain receptor tyrosine kinase 2
DDR2",2.7.10.1| Reactants,discoidin domain receptor tyrosine kinase 2,DDR2
MGP000811,"1663 -
DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11
DDX11",-,DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11,DDX11
MGP003892,"9416 
3.6.4.13
DEAD (Asp-Glu-Ala-Asp) box polypeptide 23
DDX23",3.6.4.13,DEAD (Asp-Glu-Ala-Asp) box polypeptide 23,DDX23
MGP005297,"54514 
3.6.4.13
DEAD (Asp-Glu-Ala-Asp) box polypeptide 4
DDX4",3.6.4.13,DEAD (Asp-Glu-Ala-Asp) box polypeptide 4,DDX4
MGP005184,"51428 
3.6.4.13
DEAD (Asp-Glu-Ala-Asp) box polypeptide 41
DDX41",3.6.4.13,DEAD (Asp-Glu-Ala-Asp) box polypeptide 41,DDX41
MGP004710,"23586 
3.6.4.13
DEAD (Asp-Glu-Ala-Asp) box polypeptide 58
DDX58",3.6.4.13,DEAD (Asp-Glu-Ala-Asp) box polypeptide 58,DDX58
MGP000809,"1656 
3.6.4.13
DEAD (Asp-Glu-Ala-Asp) box helicase 6
DDX6",3.6.4.13,DEAD (Asp-Glu-Ala-Asp) box helicase 6,DDX6
MGP000812,"1666 
1.3.1.34| Reactants
2,4-dienoyl CoA reductase 1, mitochondrial
DECR1",1.3.1.34| Reactants,"2,4-dienoyl CoA reductase 1, mitochondrial",DECR1
MGP000813,"1667 -
defensin, alpha 1
DEFA1",-,"defensin, alpha 1",DEFA1
MGP007265,"728358 -
defensin, alpha 1B
DEFA1B",-,"defensin, alpha 1B",DEFA1B
MGP000814,"1668 -
defensin, alpha 3, neutrophil-specific
DEFA3",-,"defensin, alpha 3, neutrophil-specific",DEFA3
MGP000815,"1669 -
defensin, alpha 4, corticostatin
DEFA4",-,"defensin, alpha 4, corticostatin",DEFA4
MGP000816,"1670 -
defensin, alpha 5, Paneth cell-specific
DEFA5",-,"defensin, alpha 5, Paneth cell-specific",DEFA5
MGP000817,"1671 -
defensin, alpha 6, Paneth cell-specific
DEFA6",-,"defensin, alpha 6, Paneth cell-specific",DEFA6
MGP000818,"1672 -
defensin, beta 1
DEFB1",-,"defensin, beta 1",DEFB1
MGP007212,"414325 -
defensin, beta 103A
DEFB103A",-,"defensin, beta 103A",DEFB103A
MGP005514,"55894 -
defensin, beta 103B
DEFB103B",-,"defensin, beta 103B",DEFB103B
MGP006569,"140596 -
defensin, beta 104A
DEFB104A",-,"defensin, beta 104A",DEFB104A
MGP007241,"503618 -
defensin, beta 104B
DEFB104B",-,"defensin, beta 104B",DEFB104B
MGP006838,"245908 -
defensin, beta 105A
DEFB105A",-,"defensin, beta 105A",DEFB105A
MGP007243,"504180 -
defensin, beta 105B
DEFB105B",-,"defensin, beta 105B",DEFB105B
MGP006839,"245909 -
defensin, beta 106A
DEFB106A",-,"defensin, beta 106A",DEFB106A
MGP007242,"503841 -
defensin, beta 106B
DEFB106B",-,"defensin, beta 106B",DEFB106B
MGP006840,"245910 -
defensin, beta 107A
DEFB107A",-,"defensin, beta 107A",DEFB107A
MGP007240,"503614 -
defensin, beta 107B
DEFB107B",-,"defensin, beta 107B",DEFB107B
MGP006841,"245911 -
defensin, beta 108B
DEFB108B",-,"defensin, beta 108B",DEFB108B
MGP006842,"245913 -
defensin, beta 110 locus
DEFB110",-,"defensin, beta 110 locus",DEFB110
MGP006843,"245915 -
defensin, beta 112
DEFB112",-,"defensin, beta 112",DEFB112
MGP006844,"245927 -
defensin, beta 113
DEFB113",-,"defensin, beta 113",DEFB113
MGP006845,"245928 -
defensin, beta 114
DEFB114",-,"defensin, beta 114",DEFB114
MGP006846,"245929 -
defensin, beta 115
DEFB115",-,"defensin, beta 115",DEFB115
MGP006847,"245930 -
defensin, beta 116
DEFB116",-,"defensin, beta 116",DEFB116
MGP006382,"117285 -
defensin, beta 118
DEFB118",-,"defensin, beta 118",DEFB118
MGP006848,"245932 -
defensin, beta 119
DEFB119",-,"defensin, beta 119",DEFB119
MGP006849,"245934 -
defensin, beta 121
DEFB121",-,"defensin, beta 121",DEFB121
MGP006850,"245936 -
defensin, beta 123
DEFB123",-,"defensin, beta 123",DEFB123
MGP006851,"245937 -
defensin, beta 124
DEFB124",-,"defensin, beta 124",DEFB124
MGP006852,"245938 -
defensin, beta 125
DEFB125",-,"defensin, beta 125",DEFB125
MGP006051,"81623 -
defensin, beta 126
DEFB126",-,"defensin, beta 126",DEFB126
MGP006580,"140850 -
defensin, beta 127
DEFB127",-,"defensin, beta 127",DEFB127
MGP006853,"245939 -
defensin, beta 128
DEFB128",-,"defensin, beta 128",DEFB128
MGP006581,"140881 -
defensin, beta 129
DEFB129",-,"defensin, beta 129",DEFB129
MGP006854,"245940 -
defensin, beta 130
DEFB130",-,"defensin, beta 130",DEFB130
MGP007254,"644414 -
defensin, beta 131
DEFB131",-,"defensin, beta 131",DEFB131
MGP007187,"400830 -
defensin, beta 132
DEFB132",-,"defensin, beta 132",DEFB132
MGP007210,"403339 -
defensin, beta 133
DEFB133",-,"defensin, beta 133",DEFB133
MGP007249,"613209 -
defensin, beta 135
DEFB135",-,"defensin, beta 135",DEFB135
MGP007250,"613210 -
defensin, beta 136
DEFB136",-,"defensin, beta 136",DEFB136
MGP000819,"1673 -
defensin, beta 4A
DEFB4A",-,"defensin, beta 4A",DEFB4A
MGP007286,"100289462 -
defensin, beta 4B
DEFB4B",-,"defensin, beta 4B",DEFB4B
MGP003602,"8560 
1.14.-.-| Reactants
delta(4)-desaturase, sphingolipid 1
DEGS1",1.14.-.-| Reactants,"delta(4)-desaturase, sphingolipid 1",DEGS1
MGP006439,"123099 
1.-.-.-| Reactants
delta(4)-desaturase, sphingolipid 2
DEGS2",1.-.-.-| Reactants,"delta(4)-desaturase, sphingolipid 2",DEGS2
MGP005495,"55789 -
DEP domain containing 1B
DEPDC1B",-,DEP domain containing 1B,DEPDC1B
MGP006260,"91614 -
DEP domain containing 7
DEPDC7",-,DEP domain containing 7,DEPDC7
MGP005109,"51071 
4.1.2.4| Reactants
deoxyribose-phosphate aldolase (putative)
DERA",4.1.2.4| Reactants,deoxyribose-phosphate aldolase (putative),DERA
MGP005095,"51009 -
derlin 2
DERL2",-,derlin 2,DERL2
MGP000820,"1674 -
desmin
DES",-,desmin,DES
MGP005368,"55070 -
de-etiolated homolog 1 (Arabidopsis)
DET1",-,de-etiolated homolog 1 (Arabidopsis),DET1
MGP000822,"1676 -
DNA fragmentation factor, 45kDa, alpha polypeptide
DFFA",-,"DNA fragmentation factor, 45kDa, alpha polypeptide",DFFA
MGP000823,"1677 -
DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase)
DFFB",-,"DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase)",DFFB
MGP003653,"8694 
2.3.1.20| Reactants
diacylglycerol O-acyltransferase 1
DGAT1",2.3.1.20| Reactants,diacylglycerol O-acyltransferase 1,DGAT1
MGP006155,"84649 
2.3.1.20| Reactants
diacylglycerol O-acyltransferase 2
DGAT2",2.3.1.20| Reactants,diacylglycerol O-acyltransferase 2,DGAT2
MGP005290,"54487 -
DGCR8 microprocessor complex subunit
DGCR8",-,DGCR8 microprocessor complex subunit,DGCR8
MGP000782,"1606 
2.7.1.107| Reactants
diacylglycerol kinase, alpha 80kDa
DGKA",2.7.1.107| Reactants,"diacylglycerol kinase, alpha 80kDa",DGKA
MGP000783,"1607 
2.7.1.107| Reactants
diacylglycerol kinase, beta 90kDa
DGKB",2.7.1.107| Reactants,"diacylglycerol kinase, beta 90kDa",DGKB
MGP003585,"8527 
2.7.1.107| Reactants
diacylglycerol kinase, delta 130kDa
DGKD",2.7.1.107| Reactants,"diacylglycerol kinase, delta 130kDa",DGKD
MGP003584,"8526 
2.7.1.107| Reactants
diacylglycerol kinase, epsilon 64kDa
DGKE",2.7.1.107| Reactants,"diacylglycerol kinase, epsilon 64kDa",DGKE
MGP000784,"1608 
2.7.1.107| Reactants
diacylglycerol kinase, gamma 90kDa
DGKG",2.7.1.107| Reactants,"diacylglycerol kinase, gamma 90kDa",DGKG
MGP006679,"160851 
2.7.1.107| Reactants
diacylglycerol kinase, eta
DGKH",2.7.1.107| Reactants,"diacylglycerol kinase, eta",DGKH
MGP003818,"9162 
2.7.1.107| Reactants
diacylglycerol kinase, iota
DGKI",2.7.1.107| Reactants,"diacylglycerol kinase, iota",DGKI
MGP006558,"139189 
2.7.1.107| Reactants
diacylglycerol kinase, kappa
DGKK",2.7.1.107| Reactants,"diacylglycerol kinase, kappa",DGKK
MGP000785,"1609 
2.7.1.107| Reactants
diacylglycerol kinase, theta 110kDa
DGKQ",2.7.1.107| Reactants,"diacylglycerol kinase, theta 110kDa",DGKQ
